,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
158,Hastings-Sunrise,124.0,1,21,3.23,1,322,21
159,Mount Pleasant,190.0,3,138,1.83,1,90,23
160,Downtown,244.0,1,173,1.48,1,171,40
161,Mount Pleasant,168.0,1,215,1.84,1,96,24
162,Grandview-Woodland,60.0,30,2,0.1,1,347,0
163,Downtown,,90,3,0.03,1,0,0
164,Downtown Eastside,241.0,2,458,3.91,1,209,65
165,Downtown,163.0,30,0,,1,364,0
166,Downtown,110.0,30,101,0.87,3,248,5
167,West End,117.0,2,403,3.45,1,70,28
168,Kensington-Cedar Cottage,209.0,30,51,0.45,2,350,2
169,West Point Grey,,7,11,0.12,1,0,2
170,West End,98.0,30,5,0.04,33,25,0
171,West End,87.0,30,7,0.12,33,38,0
172,Strathcona,,30,8,0.07,1,0,2
173,Hastings-Sunrise,,3,2,0.02,1,0,0
174,Downtown,,32,0,,33,0,0
175,Kitsilano,,4,1,0.01,1,0,0
176,Kitsilano,425.0,2,20,0.18,1,10,2
177,Downtown,115.0,30,3,0.06,1,272,2
178,Downtown,,31,5,0.05,33,0,0
179,Mount Pleasant,139.0,3,123,1.08,2,14,18
180,West End,200.0,30,76,0.66,1,0,0
181,Renfrew-Collingwood,50.0,7,46,0.4,2,29,5
182,Kitsilano,110.0,1,210,8.04,1,0,102
183,Hastings-Sunrise,80.0,2,199,1.72,1,0,8
184,Grandview-Woodland,,2,0,,1,0,0
185,Downtown Eastside,188.0,1,64,0.62,2,9,15
186,Downtown,400.0,30,24,0.21,1,179,0
187,Renfrew-Collingwood,40.0,30,50,0.44,2,89,3
188,Grandview-Woodland,95.0,30,1,0.4,1,270,1
189,Riley Park,120.0,30,54,0.47,1,354,3
190,Downtown,,30,6,0.06,33,0,1
191,Downtown,93.0,30,3,0.11,33,16,0
192,Downtown,,3,146,1.27,1,0,20
193,West End,73.0,30,2,0.03,33,42,0
194,Kitsilano,,7,5,0.04,1,0,0
