,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
3042,Downtown Eastside,175.0,4,64,2.63,1,269,38
3043,Downtown Eastside,149.0,2,67,2.67,1,35,26
3044,Downtown,134.0,30,18,0.71,1,161,3
3045,Oakridge,124.0,3,4,0.81,1,17,4
3046,Kitsilano,283.0,3,26,1.03,1,332,8
3047,Mount Pleasant,238.0,2,131,5.28,1,280,65
3048,Fairview,110.0,1,261,10.17,1,0,115
3049,Sunset,96.0,1,152,6.01,2,0,64
3050,Mount Pleasant,204.0,30,0,,13,365,0
3051,Downtown,200.0,2,116,4.89,5,106,62
3052,Downtown,146.0,30,8,0.33,1,90,3
3053,West End,130.0,30,2,0.08,12,245,0
3054,West End,179.0,30,3,0.16,3,179,0
3055,Oakridge,110.0,50,1,0.27,2,263,1
3056,Kensington-Cedar Cottage,114.0,1,198,10.02,1,0,120
3057,Grandview-Woodland,150.0,1,137,6.3,1,131,81
3058,Downtown,180.0,2,67,2.64,1,212,42
3059,Mount Pleasant,208.0,2,40,1.65,1,17,38
3060,Fairview,140.0,30,1,0.04,4,364,0
3061,West End,505.0,10,0,,30,346,0
3062,West End,590.0,10,0,,30,365,0
3063,Riley Park,155.0,1,56,2.84,1,0,42
3064,Grandview-Woodland,,2,28,1.13,1,0,0
3065,Downtown,153.0,30,6,0.28,1,102,1
3066,Riley Park,111.0,2,104,4.58,1,353,55
3067,Downtown,295.0,30,36,1.48,2,20,6
3068,Mount Pleasant,130.0,2,82,3.32,2,132,41
3069,Downtown Eastside,126.0,2,85,3.36,1,132,41
3070,Downtown,300.0,2,15,0.81,1,95,0
3071,Downtown,244.0,2,133,5.53,1,130,63
3072,Riley Park,211.0,30,24,1.14,1,178,4
3073,Kitsilano,425.0,3,6,0.25,2,14,3
3074,Downtown,265.0,1,46,2.82,1,80,38
3075,Grandview-Woodland,,2,8,0.57,1,0,4
3076,Downtown,251.0,30,2,0.38,2,179,2
3077,Strathcona,69.0,2,149,6.19,6,52,72
3078,Mount Pleasant,66.0,2,149,5.94,6,0,63
3079,Strathcona,77.0,2,176,6.97,3,0,90
3080,Mount Pleasant,63.0,2,171,6.85,3,71,86
3081,Downtown,129.0,30,24,0.97,6,183,1
3082,Mount Pleasant,,7,0,,1,0,0
3083,Arbutus Ridge,90.0,2,130,5.24,1,66,73
3084,Sunset,135.0,30,66,2.7,1,214,29
3085,Downtown Eastside,500.0,5,2,0.11,1,0,0
3086,Hastings-Sunrise,72.0,30,0,,8,40,0
3087,Mount Pleasant,150.0,30,6,0.3,1,330,3
3088,Hastings-Sunrise,200.0,1,84,3.34,1,0,46
3089,Mount Pleasant,129.0,30,11,0.49,2,365,3
3090,Downtown Eastside,112.0,1,78,3.21,134,9,34
3091,Downtown,145.0,30,135,5.39,1,0,64
3092,Downtown,171.0,2,120,5.03,2,0,63
3093,Renfrew-Collingwood,144.0,3,33,1.44,1,80,15
3094,Kitsilano,100.0,3,9,0.39,2,16,4
3095,Renfrew-Collingwood,143.0,2,100,4.38,2,0,57
3096,Downtown,160.0,2,131,5.58,1,0,66
3097,Kensington-Cedar Cottage,145.0,1,112,5.05,1,196,60
3098,Mount Pleasant,120.0,30,8,0.43,1,113,4
3099,Renfrew-Collingwood,150.0,30,1,0.06,1,142,0
3100,Kitsilano,422.0,2,46,2.08,134,105,17
3101,Renfrew-Collingwood,80.0,1,114,4.61,1,49,60
3102,Kensington-Cedar Cottage,364.0,7,0,,2,321,0
3103,Kensington-Cedar Cottage,100.0,7,69,2.88,2,97,35
3104,Downtown,120.0,30,12,0.51,2,56,6
3105,Downtown,131.0,1,203,8.24,1,0,111
3106,Downtown,149.0,30,0,,1,365,0
3107,Riley Park,,30,9,0.4,2,0,3
3108,Oakridge,64.0,30,3,0.13,20,39,2
3109,Kensington-Cedar Cottage,156.0,1,118,4.89,1,263,53
3110,Downtown Eastside,210.0,30,6,0.37,1,0,3
3111,Renfrew-Collingwood,100.0,1,70,2.9,1,75,40
3112,Marpole,110.0,31,70,3.15,1,49,30
3113,Riley Park,463.0,3,17,0.9,1,70,10
3114,Renfrew-Collingwood,140.0,2,80,3.31,1,25,41
3115,Oakridge,47.0,30,2,0.12,20,171,0
3116,Mount Pleasant,130.0,1,127,5.18,4,0,48
3117,Kitsilano,90.0,90,3,0.16,2,49,2
3118,Mount Pleasant,359.0,2,82,3.39,1,0,32
3119,Downtown,160.0,1,39,2.01,1,0,31
3120,West End,151.0,2,53,2.28,1,159,35
3121,Renfrew-Collingwood,155.0,30,15,0.63,2,159,6
3122,Oakridge,45.0,30,5,0.22,20,60,2
3123,Renfrew-Collingwood,109.0,1,57,2.37,2,0,34
3124,Grandview-Woodland,134.0,2,98,4.08,1,105,44
3125,Downtown,500.0,30,0,,1,362,0
3126,Downtown,220.0,1,140,5.7,1,0,57
3127,West End,,7,4,0.34,2,0,4
3128,Downtown,113.0,30,80,3.4,1,178,41
3129,West End,,10,2,0.09,1,0,0
3130,Downtown Eastside,196.0,7,91,3.96,2,0,57
3131,Fairview,85.0,3,69,2.99,2,36,44
3132,Shaughnessy,655.0,1,48,2.01,1,214,19
3133,Killarney,299.0,2,64,2.7,1,344,28
3134,Downtown,186.0,1,179,7.53,1,0,97
3135,Kitsilano,85.0,31,3,0.12,7,362,2
3136,Oakridge,70.0,30,2,0.36,20,18,2
3137,West End,75.0,30,2,0.09,1,88,1
3138,Riley Park,319.0,30,3,0.15,43,121,1
3139,Mount Pleasant,210.0,10,6,0.29,1,118,5
3140,West End,80.0,30,1,0.05,33,30,0
3141,West End,125.0,30,100,4.37,1,134,57
3142,Killarney,210.0,3,36,1.63,1,71,20
3143,South Cambie,125.0,1,32,4.8,1,0,32
3144,Marpole,116.0,1,137,5.76,1,173,75
3145,West End,125.0,30,107,4.74,1,153,55
3146,West End,80.0,30,7,0.3,1,82,3
3147,Kitsilano,106.0,3,39,1.78,1,63,27
3148,Downtown,180.0,30,4,0.21,11,89,2
3149,Downtown,386.0,2,72,3.59,5,0,42
3150,Downtown,328.0,2,102,4.26,1,27,46
3151,Arbutus Ridge,968.0,7,4,0.24,1,149,3
3152,Downtown,342.0,2,73,3.31,1,334,31
3153,West End,135.0,30,3,0.16,13,223,1
3154,Renfrew-Collingwood,146.0,5,11,0.46,1,0,3
3155,Riley Park,,30,10,0.45,2,0,3
3156,Riley Park,160.0,1,145,6.61,1,0,76
3157,West End,155.0,1,76,3.19,21,356,36
3158,Downtown,114.0,2,123,5.38,1,346,48
3159,Hastings-Sunrise,,3,40,1.76,1,0,14
3160,Oakridge,250.0,3,0,,2,17,0
3161,Downtown,129.0,2,53,2.23,1,155,14
3162,Downtown,220.0,30,5,0.48,1,307,5
3163,Sunset,,2,72,3.03,1,0,26
3164,Downtown,91.0,30,6,0.28,21,179,4
3165,Dunbar Southlands,250.0,30,6,0.3,1,261,4
3166,Mount Pleasant,173.0,2,97,4.11,1,0,48
3167,Marpole,,30,2,0.1,1,0,0
3168,Renfrew-Collingwood,78.0,2,89,3.9,1,165,45
3169,Downtown,314.0,1,129,5.62,1,4,58
3170,Renfrew-Collingwood,101.0,2,53,2.28,1,70,27
3171,Downtown,179.0,1,126,5.57,1,184,89
3172,Grandview-Woodland,137.0,4,89,4.04,2,0,53
3173,Downtown Eastside,150.0,3,54,2.45,1,237,34
3174,Downtown,157.0,30,7,0.33,3,152,3
3175,West End,94.0,1,37,1.83,2,10,14
3176,West End,65.0,30,5,0.39,1,215,4
3177,Kitsilano,113.0,3,96,4.17,2,233,50
3178,Renfrew-Collingwood,99.0,3,65,2.86,1,0,33
3179,Downtown,133.0,1,115,5.95,3,0,71
3180,Downtown,109.0,1,82,3.69,1,39,41
3181,Downtown Eastside,200.0,90,3,0.18,4,99,1
3182,Victoria-Fraserview,73.0,1,117,5.17,4,53,64
3183,Downtown,162.0,1,106,4.54,1,106,48
3184,Downtown Eastside,126.0,30,3,0.32,1,55,3
3185,Kitsilano,287.0,30,9,0.44,3,150,6
3186,Downtown,785.0,10,0,,30,364,0
3187,Kitsilano,150.0,1,45,1.96,1,61,1
3188,Kensington-Cedar Cottage,145.0,2,11,0.5,5,76,6
3189,Kensington-Cedar Cottage,158.0,2,72,3.21,5,76,36
3190,Kensington-Cedar Cottage,145.0,2,3,0.13,5,76,0
3191,West End,114.0,30,2,0.09,2,162,0
3192,Kensington-Cedar Cottage,143.0,2,70,3.19,1,72,38
3193,Mount Pleasant,125.0,30,2,0.11,1,83,0
3194,Downtown,132.0,1,145,6.63,43,160,81
3195,Downtown,240.0,30,4,0.22,41,342,3
3196,Downtown,260.0,30,1,0.37,41,342,1
3197,Downtown,385.0,30,2,0.28,41,365,2
3198,Downtown,774.0,9,0,,30,364,0
3199,West End,190.0,30,8,0.39,1,161,5
3200,Downtown,385.0,30,0,,41,365,0
3201,Downtown,240.0,30,2,0.11,41,342,0
3202,Downtown,260.0,30,1,0.36,41,341,1
3203,Marpole,182.0,2,82,3.6,134,0,41
3204,Downtown,156.0,2,139,6.21,1,166,66
3205,Kitsilano,137.0,3,35,1.59,1,38,16
3206,West End,140.0,30,6,0.27,12,365,3
3207,Kitsilano,128.0,30,0,,1,358,0
3208,Downtown,189.0,6,66,2.73,1,129,26
3209,Kitsilano,400.0,3,33,1.81,1,129,22
3210,Hastings-Sunrise,250.0,30,74,3.12,1,364,11
3211,Downtown,105.0,3,56,2.46,4,0,35
3212,Downtown,107.0,3,73,3.16,4,61,36
3213,Downtown,239.0,30,3,0.18,1,83,2
3214,Mount Pleasant,329.0,4,11,0.52,1,42,5
3215,Downtown,535.0,2,80,3.55,2,167,35
3216,Mount Pleasant,130.0,30,11,0.53,1,34,5
3217,Kitsilano,235.0,2,89,4.41,1,0,59
3218,Kitsilano,356.0,5,18,0.82,2,35,11
3219,Renfrew-Collingwood,,30,41,1.96,1,0,0
3220,Downtown,134.0,2,36,1.61,2,19,4
3221,Downtown,163.0,2,38,1.75,21,319,26
3222,Victoria-Fraserview,220.0,2,83,5.37,1,264,65
3223,Kitsilano,155.0,30,0,,1,42,0
3224,Kitsilano,,3,8,0.37,1,0,7
3225,Downtown,218.0,5,20,1.02,3,340,9
3226,Kensington-Cedar Cottage,,1,56,2.55,1,0,19
3227,Riley Park,125.0,3,119,5.35,1,226,68
3228,Downtown Eastside,,2,87,4.01,1,0,58
3229,Fairview,275.0,2,62,2.94,1,0,35
3230,Downtown Eastside,211.0,1,109,5.1,1,87,48
3231,Grandview-Woodland,222.0,2,81,3.67,2,316,36
3232,Downtown,136.0,2,147,7.12,1,38,86
3233,Downtown,125.0,90,12,0.65,2,327,7
3234,Renfrew-Collingwood,120.0,5,76,3.49,1,0,42
3235,Dunbar Southlands,98.0,30,11,0.53,1,83,6
3236,Downtown,100.0,1,40,1.8,1,327,13
3237,Grandview-Woodland,,1,3,0.76,3,0,3
3238,Mount Pleasant,248.0,2,60,2.68,134,321,31
3239,Hastings-Sunrise,185.0,30,25,1.13,1,39,4
3240,West End,168.0,1,160,7.16,1,0,76
3241,Downtown,349.0,30,3,0.15,1,364,1
3242,Downtown,,3,49,2.39,1,0,20
3243,Kitsilano,300.0,7,8,1.43,3,312,8
3244,Downtown,238.0,3,28,1.28,1,97,18
3245,Mount Pleasant,133.0,1,87,4.17,4,180,47
3246,Downtown,250.0,30,8,0.41,1,272,4
3247,Grandview-Woodland,125.0,1,81,3.64,134,13,28
3248,Downtown,342.0,3,75,3.4,4,313,33
3249,Hastings-Sunrise,201.0,2,90,4.17,1,235,33
3250,Mount Pleasant,115.0,90,0,,13,225,0
3251,Kitsilano,113.0,1,105,5.03,43,109,56
3252,Renfrew-Collingwood,103.0,2,63,2.86,1,0,41
3253,Downtown,380.0,30,3,0.15,1,214,0
3254,Downtown,127.0,1,102,4.71,1,239,60
3255,Downtown,135.0,30,15,0.68,1,161,2
3256,Downtown Eastside,260.0,2,137,6.59,1,254,91
3257,Downtown,140.0,4,36,1.89,3,199,30
3258,Downtown,160.0,30,0,,1,358,0
3259,Downtown,,30,6,0.57,1,0,6
3260,Downtown,123.0,2,63,2.85,2,0,35
3261,Marpole,70.0,30,8,0.4,2,139,4
3262,Downtown,125.0,1,147,6.85,1,27,78
3263,Victoria-Fraserview,337.0,3,19,0.9,1,340,13
3264,Hastings-Sunrise,227.0,3,23,1.11,2,288,12
3265,Killarney,59.0,30,5,0.24,4,346,2
3266,Kensington-Cedar Cottage,400.0,3,1,0.18,1,13,1
3267,Victoria-Fraserview,118.0,30,1,0.09,1,365,1
3268,Marpole,280.0,30,3,0.17,1,364,0
3269,Kitsilano,92.0,5,49,2.36,1,266,23
3270,Kensington-Cedar Cottage,155.0,30,19,1.06,1,354,8
3271,Mount Pleasant,145.0,2,55,2.69,1,0,25
3272,Kitsilano,,2,36,1.82,1,0,19
3273,Hastings-Sunrise,100.0,1,84,3.92,1,0,47
3274,Renfrew-Collingwood,,2,35,2.15,1,0,28
3275,Downtown,78.0,1,64,3.16,134,0,27
3276,Strathcona,117.0,2,40,2.45,1,212,25
3277,Mount Pleasant,157.0,1,86,4.06,3,0,46
3278,Downtown,150.0,30,9,0.53,2,18,6
3279,Kitsilano,70.0,30,8,0.43,3,77,5
3280,Downtown,125.0,30,7,0.38,4,59,4
3281,Kensington-Cedar Cottage,322.0,2,76,3.92,1,3,34
3282,West End,354.0,60,0,,1,363,0
3283,Kensington-Cedar Cottage,154.0,3,84,3.91,1,0,47
3284,Downtown,156.0,1,94,4.39,1,47,53
3285,Grandview-Woodland,111.0,30,19,2.43,3,225,19
3286,Mount Pleasant,136.0,30,9,0.46,2,50,4
3287,Downtown Eastside,160.0,2,67,3.38,1,161,33
3288,Downtown,128.0,20,39,1.91,5,266,15
3289,Downtown,65.0,1,49,2.28,134,333,25
3290,Victoria-Fraserview,99.0,30,4,0.2,2,363,1
3291,Downtown,102.0,30,4,0.21,6,166,0
3292,Dunbar Southlands,141.0,1,158,7.34,2,213,79
3293,Victoria-Fraserview,136.0,30,1,0.18,2,364,1
3294,West End,102.0,30,4,0.2,1,31,2
3295,Downtown,125.0,30,108,5.29,1,89,55
3296,Downtown,220.0,30,3,0.16,1,0,0
3297,Downtown,145.0,2,99,4.68,1,74,52
3298,Downtown,94.0,30,0,,33,32,0
3299,Downtown,122.0,1,28,8.4,1,126,28
3300,Downtown,99.0,30,5,0.28,10,151,3
3301,Riley Park,125.0,1,70,3.31,1,199,32
3302,Downtown,128.0,15,19,0.96,1,260,2
3303,Mount Pleasant,129.0,30,1,0.28,6,6,1
3304,Downtown,255.0,30,10,0.53,1,176,6
3305,Downtown Eastside,70.0,30,3,0.15,33,20,2
3306,Downtown,366.0,30,24,1.17,1,219,4
3307,Downtown,165.0,5,29,1.43,1,162,21
3308,Renfrew-Collingwood,207.0,2,23,1.46,1,263,21
3309,Hastings-Sunrise,94.0,1,138,6.59,2,0,82
3310,Downtown,,2,74,3.77,1,0,34
3311,Kensington-Cedar Cottage,80.0,7,6,0.32,1,78,4
3312,Downtown,120.0,2,78,3.8,1,148,47
3313,Downtown,378.0,2,113,5.85,1,245,77
3314,Mount Pleasant,144.0,5,44,2.25,11,308,28
3315,Downtown,185.0,3,38,1.88,6,170,23
3316,Killarney,297.0,5,6,0.35,1,33,0
3317,Downtown,464.0,2,29,1.56,1,269,14
3318,Mount Pleasant,125.0,2,122,6.01,2,186,64
3319,Downtown,,15,0,,1,0,0
3320,West End,229.0,90,28,1.34,1,169,4
3321,Renfrew-Collingwood,97.0,1,83,4.13,2,333,52
3322,Downtown,189.0,14,74,3.79,1,0,45
3323,Downtown Eastside,155.0,2,50,2.69,1,272,22
3324,Downtown Eastside,280.0,30,1,0.1,1,185,1
3325,Downtown,245.0,2,41,2.07,2,5,25
3326,Downtown Eastside,95.0,30,8,0.55,1,122,7
3327,Downtown,150.0,90,7,0.48,1,144,5
3328,Hastings-Sunrise,165.0,2,39,2.02,1,261,20
3329,Downtown,250.0,2,66,3.38,134,0,37
3330,Downtown,149.0,3,89,4.35,1,11,47
3331,Kitsilano,120.0,30,0,,42,294,0
3332,Downtown,133.0,1,63,3.11,134,340,30
3333,Kitsilano,375.0,3,14,0.7,1,315,7
3334,West End,289.0,18,0,,30,89,0
3335,Hastings-Sunrise,66.0,1,132,6.4,2,0,87
3336,Dunbar Southlands,69.0,30,1,0.06,8,225,0
3337,Dunbar Southlands,89.0,30,4,0.23,8,225,2
3338,Hastings-Sunrise,149.0,2,78,4.0,3,89,50
3339,Grandview-Woodland,,3,15,0.74,1,0,2
3340,Mount Pleasant,278.0,2,49,2.53,2,342,28
3341,Downtown,149.0,2,100,5.03,1,171,55
3342,Kensington-Cedar Cottage,70.0,30,2,0.13,4,133,1
3343,Downtown,153.0,2,113,6.09,2,56,69
3344,Kitsilano,116.0,3,59,2.88,1,133,35
3345,Downtown Eastside,128.0,30,25,1.33,1,179,2
3346,Downtown,400.0,2,62,3.26,5,311,34
3347,Riley Park,146.0,29,39,2.0,1,247,21
3348,Downtown,175.0,2,87,4.31,2,0,40
3349,Downtown,256.0,1,18,0.89,1,355,8
3350,Dunbar Southlands,89.0,30,3,0.19,8,225,1
3351,Downtown,175.0,30,0,,1,30,0
3352,Kensington-Cedar Cottage,88.0,2,46,2.28,1,299,19
3353,West End,165.0,30,8,0.49,1,136,4
3354,South Cambie,113.0,2,72,3.61,1,59,37
3355,Dunbar Southlands,69.0,30,5,0.27,8,225,1
3356,Kensington-Cedar Cottage,132.0,1,44,2.38,2,142,20
3357,Riley Park,704.0,2,32,1.86,2,243,24
3358,Kensington-Cedar Cottage,,2,37,2.07,1,0,27
3359,South Cambie,149.0,2,17,0.92,2,22,8
3360,Kitsilano,173.0,30,5,0.33,2,240,3
3361,Downtown,125.0,2,54,2.64,2,71,18
3362,Mount Pleasant,147.0,2,83,5.14,1,80,60
3363,Downtown,237.0,3,112,5.48,2,0,67
3364,Downtown,130.0,2,38,1.89,2,101,27
3365,Downtown Eastside,124.0,3,72,3.56,1,45,30
3366,Mount Pleasant,116.0,2,70,3.66,1,110,31
3367,Downtown,175.0,2,58,2.87,2,46,26
3368,Hastings-Sunrise,120.0,1,62,3.33,1,192,24
3369,Downtown Eastside,215.0,2,17,0.99,1,6,11
3370,Downtown,274.0,1,11,0.54,3,340,0
3371,Downtown,300.0,30,81,4.23,2,193,10
3372,Kensington-Cedar Cottage,130.0,29,4,0.21,1,162,0
3373,Riley Park,130.0,5,50,2.54,2,0,33
3374,Renfrew-Collingwood,119.0,30,7,0.37,1,364,0
3375,Sunset,180.0,2,60,3.06,1,0,30
3376,Downtown,245.0,2,73,3.72,2,41,33
3377,Downtown,164.0,2,57,3.03,1,333,38
3378,Kerrisdale,68.0,30,0,,6,365,0
3379,Downtown,160.0,30,3,0.16,3,205,1
3380,Hastings-Sunrise,100.0,30,4,0.22,1,346,2
3381,West End,175.0,180,8,0.52,7,354,6
3382,Downtown,117.0,30,3,0.26,1,324,3
3383,Downtown Eastside,142.0,2,110,5.54,1,38,61
3384,Downtown Eastside,,90,0,,33,0,0
3385,Downtown,166.0,1,7,3.28,1,134,7
3386,West End,117.0,2,71,3.54,2,132,35
3387,Downtown,115.0,30,4,0.21,1,0,0
3388,Downtown,269.0,1,62,3.75,1,294,42
3389,Downtown Eastside,230.0,5,6,0.31,1,269,2
3390,Hastings-Sunrise,123.0,2,78,4.37,1,256,54
3391,Downtown,337.0,1,25,1.28,30,84,0
3392,Kitsilano,,5,12,0.88,1,0,7
3393,Downtown,214.0,2,60,3.17,1,2,22
3394,Kensington-Cedar Cottage,129.0,4,45,4.41,1,90,45
3395,Mount Pleasant,99.0,1,94,4.76,2,0,58
3396,Fairview,,30,0,,1,0,0
3397,Downtown Eastside,250.0,30,3,0.16,1,343,1
3398,Kitsilano,143.0,2,70,3.83,1,12,45
3399,Kensington-Cedar Cottage,120.0,40,3,0.17,2,266,1
3400,Kensington-Cedar Cottage,97.0,40,5,0.34,2,186,3
3401,Downtown,321.0,30,1,0.06,1,209,0
3402,Downtown,83.0,30,1,0.05,6,357,0
3403,Downtown,144.0,2,95,4.98,3,311,64
3404,Killarney,121.0,1,73,3.82,1,102,37
3405,West End,130.0,30,4,0.25,1,328,2
3406,Marpole,63.0,1,33,11.51,1,0,33
3407,Downtown,137.0,2,109,5.52,1,0,64
3408,Hastings-Sunrise,77.0,2,51,2.73,16,234,21
3409,Mount Pleasant,,21,1,0.05,1,0,0
3410,Riley Park,610.0,2,39,1.97,1,285,27
3411,Fairview,250.0,30,0,,1,365,0
3412,Fairview,80.0,30,0,,1,17,0
3413,Mount Pleasant,159.0,30,5,0.27,1,0,2
3414,Downtown,1729.0,3,0,,30,364,0
3415,Sunset,310.0,2,42,2.18,4,75,19
3416,Grandview-Woodland,115.0,2,48,3.0,1,162,37
3417,Killarney,200.0,2,44,2.21,1,140,17
3418,Grandview-Woodland,55.0,1,9,4.91,1,0,9
3419,Kensington-Cedar Cottage,321.0,2,64,3.41,1,152,36
3420,Downtown,137.0,2,67,3.44,1,39,39
3421,Mount Pleasant,,1,7,0.36,1,0,0
3422,Hastings-Sunrise,90.0,2,64,3.33,1,0,30
3423,Riley Park,200.0,2,33,1.69,1,63,17
3424,Fairview,152.0,3,32,1.64,1,73,17
3425,Downtown,349.0,30,8,0.44,1,52,4
3426,Fairview,215.0,30,3,0.17,13,334,1
3427,Downtown Eastside,200.0,4,2,0.29,3,362,2
3428,Marpole,68.0,1,98,5.27,1,249,70
3429,Mount Pleasant,110.0,30,6,0.35,1,329,0
3430,Hastings-Sunrise,85.0,30,2,0.11,1,78,0
3431,Grandview-Woodland,245.0,2,18,0.96,1,173,8
3432,Kitsilano,,15,9,0.49,1,0,0
3433,Riley Park,200.0,2,13,0.67,2,0,4
3434,Riley Park,102.0,2,84,4.65,1,0,54
3435,Downtown Eastside,125.0,30,2,0.12,1,333,1
3436,Dunbar Southlands,,1,27,1.38,1,0,11
3437,Dunbar Southlands,109.0,1,120,6.14,2,311,76
3438,Renfrew-Collingwood,150.0,30,46,2.43,1,135,31
3439,Hastings-Sunrise,220.0,2,66,3.47,1,264,42
3440,Kitsilano,333.0,2,18,1.02,134,69,6
3441,Arbutus Ridge,140.0,30,6,0.33,2,341,3
3442,Kitsilano,400.0,3,33,2.64,1,153,32
3443,Mount Pleasant,194.0,30,1,0.06,13,344,0
3444,Arbutus Ridge,91.0,1,99,5.09,1,155,69
3445,West End,99.0,30,5,0.52,1,346,5
3446,Downtown,172.0,2,86,4.8,1,5,57
3447,Kitsilano,200.0,1,58,3.04,3,0,29
3448,Hastings-Sunrise,100.0,2,32,2.06,16,0,24
3449,Downtown,841.0,2,16,0.95,3,359,4
3450,Kensington-Cedar Cottage,100.0,30,7,0.42,1,0,2
3451,Hastings-Sunrise,119.0,3,39,2.05,16,32,18
3452,Downtown,350.0,3,31,1.64,1,267,19
3453,Fairview,172.0,2,19,1.0,1,79,9
3454,Kitsilano,65.0,30,7,0.43,1,54,5
3455,Downtown,160.0,30,9,0.52,1,140,8
3456,West End,110.0,30,8,0.76,37,269,8
3457,Riley Park,300.0,3,33,1.76,1,355,18
3458,West End,125.0,30,7,0.39,37,99,5
3459,Kensington-Cedar Cottage,83.0,4,24,1.44,1,67,20
3460,Downtown,304.0,1,118,8.78,1,0,109
3461,Arbutus Ridge,96.0,1,121,6.34,4,0,70
3462,Downtown,178.0,30,2,0.11,2,0,0
3463,Downtown,187.0,60,6,0.36,1,269,4
3464,Marpole,158.0,2,45,2.54,1,8,31
3465,Hastings-Sunrise,125.0,1,46,2.47,1,0,26
3466,Victoria-Fraserview,310.0,2,42,2.17,4,76,19
3467,West End,125.0,30,2,0.11,37,247,1
3468,Sunset,350.0,1,3,0.16,1,179,0
3469,Downtown,119.0,30,3,0.18,3,347,2
3470,West End,,25,1,0.08,2,0,0
3471,Hastings-Sunrise,104.0,1,108,5.7,2,365,66
3472,Riley Park,191.0,2,31,1.67,1,83,14
3473,Downtown,195.0,3,12,0.67,1,80,6
3474,Downtown,95.0,3,74,4.2,16,214,52
3475,Downtown Eastside,138.0,3,32,1.81,1,34,18
3476,Downtown,199.0,1,89,5.34,1,19,66
3477,Downtown,,30,1,0.06,1,0,0
3478,Riley Park,49.0,2,113,5.94,1,55,67
3479,Victoria-Fraserview,146.0,1,28,1.49,2,364,20
3480,Downtown,148.0,2,82,4.78,1,302,57
3481,Sunset,180.0,30,0,,1,364,0
3482,Kitsilano,220.0,120,3,0.18,1,268,2
3483,Kitsilano,90.0,30,7,0.84,1,133,7
3484,Kitsilano,250.0,30,2,0.11,1,365,0
3485,Mount Pleasant,300.0,3,26,1.4,1,2,12
3486,Downtown,85.0,30,1,0.06,4,73,0
3487,West End,100.0,15,5,0.31,3,232,3
3488,Hastings-Sunrise,56.0,2,50,2.66,2,66,26
3489,Downtown,134.0,2,47,2.88,1,339,32
3490,Riley Park,476.0,3,16,0.96,1,225,8
3491,Shaughnessy,,3,6,0.36,1,0,4
3492,Riley Park,153.0,1,0,,4,310,0
3493,Riley Park,99.0,1,2,0.58,4,275,2
3494,Kensington-Cedar Cottage,599.0,1,17,0.92,1,0,0
3495,West End,125.0,30,4,0.52,37,238,4
3496,Shaughnessy,150.0,1,49,2.6,3,46,39
3497,Downtown,380.0,1,106,5.65,1,265,55
3498,West End,299.0,2,10,0.55,1,344,3
3499,West End,150.0,1,43,2.53,134,365,32
3500,Downtown,28650.0,30,5,0.3,3,364,3
3501,Downtown,154.0,2,72,4.24,1,80,51
3502,Renfrew-Collingwood,184.0,2,56,2.97,1,0,29
3503,Downtown,150.0,30,6,0.36,3,80,3
3504,Shaughnessy,135.0,1,47,2.5,3,90,22
3505,Downtown,140.0,30,44,2.34,1,96,13
3506,Oakridge,55.0,30,4,0.24,10,346,3
3507,Downtown,132.0,1,158,8.91,1,102,111
3508,Kerrisdale,613.0,2,17,0.9,3,333,9
3509,Downtown,239.0,1,33,1.75,5,0,0
3510,Kensington-Cedar Cottage,156.0,1,15,3.63,1,269,15
3511,Downtown,119.0,1,64,3.42,1,0,42
3512,Downtown,142.0,2,50,2.85,1,0,26
3513,Kitsilano,219.0,2,41,2.33,1,283,27
3514,Downtown,229.0,2,78,4.29,1,129,52
3515,Arbutus Ridge,213.0,1,62,3.42,1,292,33
3516,Downtown,220.0,2,49,2.74,1,266,31
3517,Downtown,123.0,2,66,3.71,134,325,50
3518,Hastings-Sunrise,100.0,31,6,0.57,1,347,6
3519,Downtown,550.0,1,37,1.99,1,0,14
3520,Downtown,167.0,2,53,2.81,1,89,4
3521,Shaughnessy,104.0,1,11,0.62,3,84,8
3522,Downtown,147.0,2,105,6.52,1,34,73
3523,Downtown,183.0,2,99,5.3,1,0,60
3524,Downtown,176.0,60,3,0.23,3,17,2
3525,Renfrew-Collingwood,93.0,28,7,0.42,3,72,4
3526,West End,143.0,30,41,2.21,1,80,26
3527,South Cambie,105.0,30,2,0.11,43,97,0
3528,Kensington-Cedar Cottage,183.0,2,51,2.78,1,133,26
3529,Downtown,143.0,2,92,4.99,1,0,66
3530,West End,160.0,30,5,0.3,3,89,2
3531,Downtown,130.0,30,1,0.86,2,364,1
3532,Riley Park,1840.0,7,24,1.38,1,83,13
3533,Renfrew-Collingwood,35.0,28,5,0.3,3,50,2
3534,Renfrew-Collingwood,54.0,30,8,0.48,3,70,3
3535,Downtown,,4,47,2.96,1,0,36
3536,Victoria-Fraserview,159.0,1,66,3.55,6,10,38
3537,Victoria-Fraserview,81.0,1,40,2.17,5,36,21
3538,Kitsilano,245.0,30,2,0.12,1,191,0
3539,Downtown Eastside,113.0,3,45,5.23,1,71,45
3540,Mount Pleasant,464.0,1,84,4.52,1,0,57
3541,Fairview,600.0,30,0,,1,364,0
