,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
5543,189.0,2,25,5.36,1,286,25
5544,,30,0,,3,363,0
5545,,30,0,,3,269,0
5546,,30,0,,3,226,0
5547,1450.0,4,1,0.22,3,158,1
5548,149.0,3,4,1.67,1,40,4
5549,210.0,1,21,4.77,1,0,21
5550,151.0,2,16,3.33,2,0,16
5551,350.0,2,10,2.29,1,128,10
5552,70.0,30,3,0.8,134,339,3
5553,82.0,30,2,0.53,26,286,2
5554,137.0,30,0,,1,362,0
5555,250.0,1,12,2.48,1,0,12
5556,388.0,2,11,2.16,1,65,11
5557,95.0,45,1,0.39,1,151,1
5558,115.0,2,25,5.28,1,0,25
5559,158.0,2,5,1.22,2,180,5
5560,395.0,3,9,1.86,1,0,9
5561,153.0,2,14,3.39,1,363,14
5562,209.0,3,5,1.47,1,68,5
5563,140.0,90,0,,1,312,0
5564,260.0,30,2,0.65,3,71,2
5565,176.0,30,2,0.58,134,283,2
5566,139.0,30,0,,134,160,0
5567,175.0,2,20,4.55,1,261,20
5568,141.0,30,3,0.87,134,288,3
5569,105.0,30,0,,134,342,0
5570,74.0,30,0,,134,345,0
5571,274.0,28,5,1.09,1,162,5
5572,108.0,30,0,,26,325,0
5573,129.0,1,6,3.67,1,100,6
5574,143.0,1,16,3.64,1,364,16
5575,194.0,1,23,4.79,1,283,23
5576,136.0,2,11,2.28,1,76,11
5577,500.0,180,0,,1,269,0
5578,83.0,2,17,3.52,1,0,17
5579,94.0,1,26,5.42,2,93,26
5580,106.0,3,17,3.52,3,201,17
5581,64.0,1,18,4.03,1,0,18
5582,115.0,1,21,4.44,4,86,21
5583,214.0,28,0,,2,349,0
5584,291.0,2,1,0.77,1,74,1
5585,33.0,31,1,0.2,5,68,1
5586,125.0,30,1,0.53,37,192,1
5587,190.0,2,1,0.29,5,269,1
5588,75.0,1,0,,10,280,0
5589,135.0,2,11,2.48,2,0,11
5590,112.0,30,2,0.55,1,49,2
5591,58.0,5,8,1.89,7,106,8
5592,100.0,30,3,0.7,2,40,3
5593,48.0,30,1,0.33,7,345,1
5594,57.0,30,2,0.58,7,277,2
5595,185.0,30,9,1.86,1,319,9
5596,106.0,2,1,0.25,2,61,1
5597,179.0,2,5,1.38,2,61,5
5598,500.0,1,0,,1,269,0
5599,152.0,2,14,4.57,1,0,14
5600,89.0,2,11,2.29,5,65,11
5601,177.0,1,14,3.02,3,288,14
5602,240.0,3,2,1.28,5,237,2
5603,131.0,2,9,2.5,2,277,9
5604,125.0,1,18,4.62,1,0,18
5605,128.0,30,1,0.71,134,356,1
5606,132.0,30,1,0.32,134,285,1
5607,88.0,30,2,0.53,134,340,2
5608,92.0,30,0,,3,82,0
5609,449.0,1,8,2.07,4,90,8
5610,144.0,30,0,,2,174,0
5611,144.0,30,0,,2,67,0
5612,352.0,4,3,0.71,1,26,3
5613,118.0,30,0,,3,185,0
5614,131.0,3,14,2.92,1,253,14
5615,250.0,1,5,1.15,1,364,5
5616,210.0,2,3,0.88,2,167,3
5617,104.0,30,1,0.68,26,339,1
5618,313.0,2,24,5.14,1,0,24
5619,1200.0,20,0,,30,269,0
5620,207.0,1,6,2.4,1,85,6
5621,133.0,30,0,,1,365,0
5622,800.0,3,1,0.37,1,88,1
5623,89.0,1,0,,1,362,0
5624,80.0,30,0,,1,85,0
5625,77.0,1,6,1.29,18,258,6
5626,470.0,10,0,,30,269,0
5627,180.0,7,0,,1,0,0
5628,143.0,1,35,8.27,1,0,35
5629,136.0,30,0,,1,252,0
5630,65.0,30,0,,2,78,0
5631,122.0,1,28,6.51,2,79,28
5632,,30,0,,1,0,0
5633,251.0,1,4,2.07,7,325,4
5634,185.0,30,0,,1,268,0
5635,269.0,1,10,2.26,1,0,10
5636,85.0,1,19,4.38,4,90,19
5637,203.0,3,4,1.58,2,0,4
5638,253.0,30,1,0.88,6,27,1
5639,128.0,1,33,7.23,1,51,33
5640,252.0,1,18,3.86,1,207,18
5641,399.0,30,0,,2,303,0
5642,130.0,30,1,0.4,1,326,1
5643,143.0,2,20,4.44,1,56,20
5644,114.0,1,37,9.02,1,0,37
5645,159.0,30,0,,1,162,0
5646,112.0,30,1,0.33,1,0,1
5647,175.0,30,1,0.3,2,68,1
5648,100.0,30,1,0.41,1,269,1
5649,143.0,1,7,2.92,43,0,7
5650,150.0,90,0,,1,186,0
5651,3552.0,30,1,1.0,134,212,1
5652,600.0,6,3,0.82,1,28,3
5653,,2,5,1.76,1,0,5
5654,95.0,1,10,2.27,4,264,10
5655,116.0,30,0,,3,20,0
5656,120.0,2,10,2.19,1,14,10
5657,120.0,30,1,0.3,3,81,1
5658,306.0,3,0,,1,179,0
5659,124.0,30,2,0.57,134,312,2
5660,130.0,30,1,0.4,134,257,1
5661,999.0,1,0,,1,365,0
5662,45.0,31,0,,5,149,0
5663,383.0,1,12,3.1,1,349,12
5664,210.0,2,0,,1,75,0
5665,81.0,5,19,4.19,5,0,19
5666,67.0,1,24,5.9,2,254,24
5667,297.0,2,0,,4,66,0
5668,118.0,30,2,0.62,134,223,2
5669,67.0,1,4,1.08,7,66,4
5670,67.0,1,3,1.25,7,58,3
5671,70.0,1,17,4.68,4,44,17
5672,67.0,1,5,1.56,7,71,5
5673,67.0,1,2,0.48,7,37,2
5674,166.0,1,31,7.15,1,0,31
5675,390.0,1,0,,7,16,0
5676,275.0,3,3,0.66,3,89,3
5677,375.0,2,2,1.11,1,339,2
5678,232.0,2,27,5.91,1,199,27
5679,148.0,30,0,,8,234,0
5680,167.0,30,0,,8,269,0
5681,119.0,30,1,0.73,2,148,1
5682,45.0,3,0,,7,229,0
5683,104.0,2,19,4.32,1,0,19
5684,457.0,2,9,2.05,1,61,9
5685,197.0,1,15,3.44,4,90,15
5686,155.0,1,27,7.04,1,255,27
5687,300.0,2,16,3.72,1,0,16
5688,313.0,2,19,4.35,1,234,19
5689,144.0,30,2,0.63,2,242,2
5690,100.0,30,0,,1,347,0
5691,291.0,1,8,2.33,1,248,8
5692,115.0,30,0,,1,220,0
5693,264.0,1,9,2.08,1,246,9
5694,140.0,2,20,4.44,1,60,20
5695,104.0,31,2,0.57,4,261,2
5696,147.0,2,6,1.64,2,166,6
5697,248.0,40,0,,1,344,0
5698,132.0,1,0,,8,269,0
5699,70.0,1,11,2.77,2,364,11
5700,190.0,3,23,5.56,1,103,23
5701,,2,3,0.72,1,0,3
5702,175.0,3,18,4.35,5,195,18
5703,219.0,2,10,3.13,1,67,10
5704,628.0,30,0,,30,269,0
5705,200.0,30,1,0.54,1,159,1
5706,165.0,2,12,2.79,1,12,12
5707,500.0,3,1,0.34,1,71,1
5708,200.0,30,1,0.81,1,221,1
5709,149.0,3,13,3.02,1,18,13
5710,229.0,30,0,,1,77,0
5711,170.0,1,19,4.75,1,245,19
5712,176.0,2,5,2.0,1,71,5
5713,103.0,1,9,2.67,1,63,9
5714,243.0,2,8,1.83,1,241,8
5715,,1,2,0.54,1,0,2
5716,168.0,1,5,1.9,1,308,5
5717,108.0,2,3,3.0,1,159,3
5718,300.0,1,0,,2,41,0
5719,130.0,1,9,2.37,6,289,9
5720,71.0,1,3,0.79,6,0,3
5721,109.0,1,10,2.46,6,0,10
5722,160.0,1,9,2.52,1,11,9
5723,73.0,1,7,2.23,2,269,7
5724,112.0,2,14,3.41,2,180,14
5725,799.0,30,0,,1,89,0
5726,203.0,1,3,0.82,4,288,3
5727,250.0,4,8,2.35,1,196,8
5728,464.0,3,1,0.29,2,16,1
5729,97.0,2,13,3.28,1,108,13
5730,35.0,14,1,0.23,5,75,1
5731,78.0,2,13,3.39,1,72,13
5732,300.0,3,1,0.25,1,89,1
5733,99.0,1,21,6.06,1,245,21
5734,232.0,1,8,1.95,1,89,8
5735,107.0,1,9,2.14,6,291,9
5736,,2,0,,5,0,0
5737,126.0,1,33,9.0,4,362,33
5738,130.0,30,0,,9,160,0
5739,,3,16,3.87,1,0,16
5740,180.0,2,1,0.33,5,269,1
5741,125.0,30,2,0.71,1,91,2
5742,268.0,1,2,2.0,6,183,2
5743,67.0,1,9,2.57,3,67,9
5744,999.0,1,0,,3,269,0
5745,116.0,1,18,4.62,1,321,18
5746,68.0,1,7,1.71,18,270,7
5747,116.0,1,15,3.88,1,0,15
5748,387.0,10,0,,30,241,0
5749,104.0,30,1,0.4,4,223,1
5750,555.0,2,9,2.41,1,255,9
5751,138.0,1,3,1.02,6,270,3
5752,249.0,1,10,2.54,1,0,10
5753,156.0,1,1,0.35,3,269,1
5754,140.0,1,3,1.0,3,269,3
5755,41.0,1,2,0.55,8,270,2
5756,156.0,2,11,2.75,1,102,11
5757,600.0,5,0,,1,251,0
5758,156.0,2,15,3.91,1,71,15
5759,192.0,2,19,5.33,1,167,19
5760,350.0,3,0,,1,162,0
5761,104.0,3,9,2.33,1,142,9
5762,,14,0,,1,0,0
5763,107.0,1,8,2.2,6,0,8
5764,206.0,7,2,1.67,1,61,2
5765,275.0,1,0,,3,179,0
5766,94.0,2,11,3.24,1,100,11
5767,80.0,30,0,,1,56,0
5768,128.0,30,0,,12,50,0
5769,61.0,2,17,5.0,1,0,17
5770,67.0,3,15,3.95,5,137,15
5771,52.0,1,8,2.09,1,87,8
5772,141.0,1,6,1.76,1,85,6
5773,219.0,3,12,3.27,1,79,12
5774,,28,5,1.34,1,0,5
5775,,30,0,,1,269,0
5776,123.0,1,7,3.13,1,42,7
5777,180.0,30,0,,1,11,0
5778,350.0,1,0,,5,269,0
5779,86.0,2,2,0.8,1,190,2
5780,55.0,30,11,2.82,5,247,11
5781,63.0,1,6,1.96,5,251,6
5782,150.0,6,0,,1,34,0
5783,163.0,1,19,4.91,1,125,19
5784,76.0,1,11,4.12,1,31,11
5785,196.0,1,7,1.89,2,73,7
5786,124.0,1,30,7.56,1,192,30
5787,635.0,2,9,2.29,3,344,9
5788,49.0,30,4,1.03,5,240,4
5789,49.0,30,12,3.53,5,242,12
5790,66.0,3,0,,1,170,0
5791,84.0,1,13,3.98,2,0,13
5792,79.0,1,18,4.86,1,169,18
5793,111.0,30,0,,1,269,0
5794,76.0,30,2,0.71,3,188,2
5795,392.0,2,7,2.26,1,139,7
5796,120.0,30,7,2.06,1,0,7
5797,120.0,1,8,4.44,1,22,8
5798,131.0,1,0,,1,346,0
5799,210.0,3,3,0.83,1,117,3
5800,135.0,30,0,,1,30,0
5801,260.0,2,1,0.59,2,58,1
5802,21.0,30,0,,19,270,0
